date,date_certainty,event,source,citation,category,source_is_brief_only
2026-05-21,exact (Drive timestamps),"Leal Land Holdings, LLC planning documents created: 160-acre acquisition strategy/term sheet ($3,360,000; LLC of Jace/Steve/Jordan; lease-back to dairy; states Partnership 'CANNOT take title... due to the ongoing 998 buyout litigation') + two P&Ls, one funding $500,000 of the down payment via 8% 'Feed Line' draw. Settlement para. 11/11(a) and Art. VIII.A/IX.A exposure — see A-36, OI-43. INTERNAL PLANNING DOCS; whether anything proceeded is UNKNOWN.",Client Drive documents (3 files),"Drive IDs in manifest, 01-verified-facts/drive-sweep/drafts-proposals-sweep.md",transaction,FALSE
2026-07-02,exact,"Cover letter from Brandon M. Ormonde to Niki Cunningham: alternative monetary settlement offer $5,705,257.43 (principal $4,700,000 + Bypass income $327,427.02 + interest $677,830.41 @4%); conditioned on immediate cessation of partnership-funded personal expenses and draws; open 30 days. NOTE: page-2 running header misdated 'January 2, 2024'.",Correspondence,2026-7-2 BMO Atty Cunningham Ltr.pdf (1nnHz4PJtMz7wv-6b1GGwpV-0CT7Xq4we),settlement,FALSE
2026-07-08,"exact (letter date, counsel-file copy)","Previously unknown SECOND monetary letter: Ormonde to Cunningham under an Evidence Code 1152 header — 'Concurrent with this offer, we are delivering a C.C.P. 998 offer that is consistent with the specific performance requested in the complaint. As an alternative,' a monetary settlement offer of $5,705,257.43 for the Trust's partnership + real property interests 'with a release of all other claims by all parties (Civ. 1542).' Establishes the deliberate two-track architecture (998 = specific performance; money = 1152 letter). Page 2+ ('Valuation and Interest Reconciliation') not yet produced (OI-1).","7/8/2026 letter (counsel-file COPY, client scan 8/18/2026)",01-verified-facts/998-as-served-extract.md (S-14),litigation,FALSE
2026-07-09,"documented (transmittal letter, counsel-file copy)","998 offer transmitted to defense counsel: Ormonde Rascon transmittal letter dated 7/9/2026 to Niki Cunningham, Whitney Thompson & Jeffcoach ('Enclosed is the 998 Offer'), service stated as U.S. MAIL and VIA EMAIL (ncunningham@wtjlaw.com). AS-SERVED PROOF OF SERVICE STILL NOT LOCATED — the POS, signature page, and acceptance-form pages remain outstanding (OI-1). The served text DIFFERS from the Drive '998 offer FINAL.pdf' (see extract); served caption bears wrong case number VCU3627028.","Transmittal letter (counsel-file COPY, client scan 8/18/2026)",01-verified-facts/998-as-served-extract.md (S-14),litigation,FALSE
2026-08-01,computed,"Cover letter's own 30-day window expires (30 days from July 2, 2026 letter date). COMPUTATION ONLY — legal effect addressed in R1.",Computation,Derived from 2026-7-2 BMO Atty Cunningham Ltr.pdf,computed-deadline,FALSE
2026-08-08,computed,CCP 998(b)(2) 30-day period expires if service occurred 7/9/2026 (30 calendar days). COMPUTATION ONLY.,Computation,Derived from reported 7/9/2026 service date,computed-deadline,FALSE
2026-08-13,computed,"CCP 998(b)(2) period as extended by CCP 1013 five-day mail extension, IF that extension applies to 998 acceptance (contested — see R1). COMPUTATION ONLY. UPDATE 8/18: service was by MAIL AND EMAIL (7/9 transmittal); an e-service variant (CCP 1010.6, if applicable) computes to 8/12; the 30-day/court-day floor computes to 8/10. ALL variants expired before 8/18. See R1 Addendum 3.",Computation,Derived from reported 7/9/2026 service date,computed-deadline,FALSE
2026-08-18,exact,Date of this workspace. ALL COMPUTED 998 ACCEPTANCE WINDOWS ABOVE HAVE PASSED under every method of computation.,Workspace,Prepared 2026-08-18,computed-deadline,FALSE
2026-08-24,NOT ESTABLISHED,"Escrow closing. NO ESCROW FILE, INSTRUCTIONS, OR CONFIRMATION IN RECORD. Date is a tasking input only.",No source,No responsive document located,transaction,FALSE
2026-09-15,deadline,DEADLINE: materials to litigation counsel,Tasking instruction,Workspace tasking,deadline,FALSE
2026-10-13,deadline,CASE MANAGEMENT CONFERENCE,Tasking instruction,Workspace tasking — CONFIRM AGAINST COURT DOCKET,deadline,FALSE
